state,year,exports_total,imports_total,exports_china,imports_china,GDP_millions
Illinois,2013,66157176406,1.24828E+11,5694544850,25783629391,724795
Illinois,2014,68246837088,1.40123E+11,4714008061,29463893632,745875
Indiana,2008,26502291510,28161063424,929503424,4490248135,275278
Indiana,2009,22907367488,25286584138,868952445,4182310656,263430
Indiana,2010,28764260136,33149506765,1089652857,4910769851,282954
Indiana,2011,32332054981,39519425612,1173094766,5466125270,291357
Indiana,2012,34398866943,43277846831,1309127103,6067058859,300304
Indiana,2013,34154533203,45678441017,1345801521,6795978584,311188
Indiana,2014,35467036651,48793539329,1436395708,7721090230,317840
Iowa,2008,12124631240,9282301587,369559312,945176293,136943
Iowa,2009,9042125564,6106368538,367239553,771029931,137571
Iowa,2010,10879762927,7091185702,598935997,1009385939,142344
Iowa,2011,13316520712,8240761230,574476981,1163553506,150289
Iowa,2012,14622238610,9432393394,751430582,1292592877,159660
Iowa,2013,13883072861,9570848930,611376937,1354330595,166787
Iowa,2014,15092200558,10080923399,946360620,1411724898,170613
Kansas,2008,12513976006,10223157529,510983871,1874595692,126152
Kansas,2009,8916920376,11891201863,353008506,1696130448,122029
Kansas,2010,9899680110,10826256097,526936040,1907125158,127947
Kansas,2011,11623395759,9786202310,668948637,2103692546,136613
Kansas,2012,11683937630,10872675723,1137751725,2181060413,140441
Kansas,2013,12457298871,10756375530,1703333091,2115176432,142449
Kansas,2014,12045822292,11805856621,1183713509,2347659479,147075
Kentucky,2008,19120585559,29270979356,604183001,6128549278,159429
Kentucky,2009,17649768303,25346772506,736882391,5520825001,156514
Kentucky,2010,19346214603,32091761549,838611140,7835948985,166181
Kentucky,2011,20118878938,31969824313,911380412,5759716026,172869
Kentucky,2012,22131550324,34724857475,1054655052,6803062929,178682
Kentucky,2013,25349315831,37859496289,1350861018,6639585026,183582
Kentucky,2014,27650690098,39266108135,1653540616,6860910997,188602
Louisiana,2008,41908136496,87012233549,3480214089,1037308268,218847
Louisiana,2009,32616451452,43507654959,5395014975,777170415,210791
Louisiana,2010,41370690441,60914812130,6508968035,746278767,233155
Louisiana,2011,54971153986,82651758885,7281308476,908471539,241845
Louisiana,2012,62868766110,80813125672,9310706978,1149264209,250689
Louisiana,2013,63241655863,66214255175,7949040103,1024244107,246660
Louisiana,2014,64813659468,57605434176,8438883476,1309776857,251397
Maine,2008,3016395471,4823052305,121675097,396177568,50166
Maine,2009,2231142502,4279438148,175470108,274166942,50487
Maine,2010,3162186695,4197242252,333297127,354451162,51681
Maine,2011,3422092609,4449753735,274709904,386829895,52007
Maine,2012,3047876076,3775864119,247438602,330917326,53180
Maine,2013,2686757101,3540873093,222994195,352630677,54609
Maine,2014,2711573626,3860606350,183872121,357390874,55838
Maryland,2008,11383050502,18454431224,569845426,2298268237,298430
Maryland,2009,9225376423,13341505600,566053771,1599147729,303674
Maryland,2010,10167475739,19825960834,573616659,2582720436,314354
Maryland,2011,10862556152,23951836638,666940164,3098144565,323148
Maryland,2012,11745126175,25081883073,559037631,2878118390,330518
Maryland,2013,11744825843,26578065610,562629646,2842032849,339409
Maryland,2014,12233389310,30071548917,731811906,3127411395,348631
Massachusetts,2008,28369195305,32296773943,1563296229,5116198038,384595
Massachusetts,2009,23593277279,26454499969,1371731805,4109375546,381628
Massachusetts,2010,26304882035,30682970888,2195196151,5063720169,398147
Massachusetts,2011,27870976882,33367003099,2088010546,5134187324,412653
Massachusetts,2012,25613948758,32957595940,1876540569,4610997422,428350
Massachusetts,2013,26807848547,34361410276,1976778713,4626800117,441467
Massachusetts,2014,27382732078,34435514986,2290935906,4405605701,459937
Michigan,2008,45135506345,90150588566,1287601558,3988406124,387517
Michigan,2009,32655333884,59748247532,1333294229,2980161011,366387
Michigan,2010,44851338759,88042034351,2181214229,4531249001,386586
Michigan,2011,51063992243,1.0428E+11,2691414355,5691465288,398912
Michigan,2012,57051460900,1.1622E+11,3266990775,6753476712,415145
Michigan,2013,58651788932,1.18151E+11,4135721209,7574820213,434674
Michigan,2014,55928500991,1.22739E+11,3403937136,8140420830,451516
Minnesota,2008,19186171449,33035603411,1022253118,8840971613,265497
Minnesota,2009,15531557833,21192126099,1037147501,9173364014,259935
Minnesota,2010,18903679573,26345681980,1571464972,9961247918,272995
Minnesota,2011,20732142776,33125201612,1940438985,9629696651,285452
Minnesota,2012,20826551885,32871466095,2027711588,10315338993,295716
Minnesota,2013,20760049746,33022284076,1964143851,9947276212,307270
Minnesota,2014,21408254499,34692897614,1801259896,10384894557,316204
Mississippi,2008,7323468227,17600940021,379396192,2697333013,94968
Mississippi,2009,6316488807,13349563050,292873807,2168630582,92442
Mississippi,2010,8223946006,15919063817,405432444,2410607011,95539
Mississippi,2011,10938941186,20469540365,502151730,2882868507,97760
Mississippi,2012,11793765943,20666152558,862775597,3268689256,103414
Mississippi,2013,12397613040,20003436883,669682127,3417760292,104095
Mississippi,2014,11450139890,17254303213,644183631,3225379650,104851
Missouri,2008,12852324415,13728010789,944414496,3299469826,249633
Missouri,2009,9522229617,11403496534,688178778,2618748061,249783
Missouri,2010,12924556333,12842468200,986460144,3108406610,256212
Missouri,2011,14161092655,15698844241,1161374650,3487036650,257985
Missouri,2012,13903241672,16501631083,1141199463,4085633634,266672
Missouri,2013,12930037104,18514674188,849747626,4531749583,276715
Missouri,2014,14140665981,18283923179,872445283,4554164578,284462
Montana,2008,1394600906,6265592153,61270469,76748994,36648
Montana,2009,1053312395,3556273634,60468383,67348517,35442
Montana,2010,1393457515,4680292301,122879496,73224060,37343
Montana,2011,1591805934,5615202766,119166398,85918579,40193
Montana,2012,1575986341,5592916500,105432476,106406163,41941
Montana,2013,1505774258,5740599560,93273360,118318086,43006
Montana,2014,1545427741,6237281938,106274493,135777998,44269
Nebraska,2008,5412021410,3256492806,198612583,586850810,85744
Nebraska,2009,4872924899,2682771408,209289378,437001640,87172
Nebraska,2010,5820958718,2900806184,279218755,614345982,91837
Nebraska,2011,7587579923,3414869609,380570572,850953191,98997
Nebraska,2012,7454953988,3575941920,487323213,918729763,102823
Nebraska,2013,7389670265,3702901016,588233803,837708885,109364
Nebraska,2014,7863497581,4050191701,610290257,927640238,112159
Nevada,2008,6121087925,6105624816,372211865,1474134639,128760
Nevada,2009,5672185096,5279951104,210822821,1574459500,119087
Nevada,2010,5912569270,6047202545,455826952,1852057205,119529
Nevada,2011,7989585602,7450671740,424768272,2415527720,122420
Nevada,2012,10261239230,8331002530,560788308,2750188663,124938
Nevada,2013,8701073018,8582336275,592805790,3488629281,127989
Nevada,2014,7691517557,7849656312,584252675,3258993947,132064
New Hampshire,2008,3752476603,10614636823,328722863,611404695,60004
New Hampshire,2009,3060715994,6322029947,211501939,556721083,60654
New Hampshire,2010,4368161140,8949850921,411924621,710097150,62868
New Hampshire,2011,4306552050,11681904299,338879444,869003256,64246
New Hampshire,2012,3487646930,12225388751,273078242,888407748,66490
New Hampshire,2013,3511341942,11873197162,265908307,931683212,68701
New Hampshire,2014,4226842551,11215615947,298542781,1105985121,71552
New Jersey,2008,35643101080,1.34375E+11,980954676,15496377100,494007
New Jersey,2009,27244246431,94367511812,1058391236,12499412832,484804
New Jersey,2010,32130944531,1.0866E+11,1389710993,15178253426,494148
New Jersey,2011,38172316758,1.25476E+11,1858384270,16901316398,498918
New Jersey,2012,37285604108,1.20863E+11,1424498307,16616616015,523275
New Jersey,2013,36651543520,1.19294E+11,1579925023,16773429410,537396
New Jersey,2014,36616205166,1.26365E+11,1425370024,18111852950,549099
New Mexico,2008,2782906663,2280597152,650220213,234596085,84193
New Mexico,2009,1269535234,2000239584,103314768,376762378,81129
New Mexico,2010,1542649869,3164326062,73372788,757748738,83968
New Mexico,2011,2095859917,2530897039,89723261,831030923,86737
New Mexico,2012,2957808347,2325753564,76996815,756932064,88212
New Mexico,2013,2726641179,2016094015,96456470,721917298,90828
New Mexico,2014,3800450987,2237304630,105893888,781283409,92959
New York,2008,81385735231,1.25577E+11,2815127627,19420331631,1109714
New York,2009,58743030056,92909031343,2440783550,16884385809,1142957
New York,2010,69684943969,1.13722E+11,3366674731,20556851665,1199367
New York,2011,84999347161,1.27252E+11,4458937245,21594597883,1234073
New York,2012,81337507054,1.24434E+11,4286009432,22616820699,1302527
New York,2013,86312467010,1.29807E+11,5032947734,22751745377,1341591
New York,2014,88433809412,1.3458E+11,4290507924,23074327027,1404518
North Carolina,2008,25090543442,47701154118,1942944385,9090846950,407119
North Carolina,2009,21792953156,37644461242,1785305639,7412641977,410488
North Carolina,2010,24917912305,42490216521,2238213926,8975597673,422107
North Carolina,2011,27067046870,47868210608,2631468883,9244217906,433311
North Carolina,2012,28838731833,49579760387,2539305083,9450242335,445720
North Carolina,2013,29342049629,49848250344,2693642638,11514911286,467075
North Carolina,2014,31376674756,52863883680,2661378529,12486268679,483126
North Dakota,2008,2772203944,2982287212,15229372,43003918,31913
North Dakota,2009,2193011373,1983178207,18840418,48390909,31994
North Dakota,2010,2532206235,2528414658,23938500,79664731,35305
North Dakota,2011,3392765415,3472784061,21660071,129061965,40482
North Dakota,2012,4310298012,3906721030,19133742,148375169,49308
